serial_id,fips,community
1,33005970900,1
2,33005971401,1
3,50011010100,3
4,50011010700,3
5,50007002601,3
6,50007003100,3
7,33017084100,0
8,33017084300,0
9,50011010600,3
10,50007000600,3
11,50007003900,3
12,50007002102,3
13,50007003304,3
14,33013036000,2
15,33013044100,2
16,50011010800,3
17,33015100100,4
18,33015100400,4
19,50007000200,3
20,50007001000,3
21,33011014300,4
22,33011014100,4
23,33011016201,4
24,33011016202,4
25,33015069200,0
26,33015069100,0
27,50003971100,5
28,50003971200,5
29,50023955300,3
30,50023955200,3
31,33005971100,1
32,50011010500,3
33,50007002200,3
34,33013003200,2
35,33011015200,4
36,50005957500,6
37,50005957400,6
38,50007002701,3
39,50025968400,1
40,50025968500,1
41,50025968700,1
42,33011014201,4
43,50007002900,3
44,50007003000,3
45,33005971000,1
46,50023955100,3
47,33015100200,4
48,50007000400,3
49,50027966700,1
50,50027966600,1
51,33011010800,4
52,33011010200,4
53,50023954500,3
54,33011010400,4
55,50007002302,3
56,50007000900,3
57,33011010700,4
58,33011012100,4
59,33011012200,4
60,33017084200,0
61,33005971402,1
62,33013032800,2
63,50007002702,3
64,50023954400,3
65,50023954300,3
66,33009960200,6
67,33009960100,6
68,50007000100,3
69,50007002602,3
70,33011000203,4
71,33013003001,4
72,33013032400,2
73,33011002902,4
74,33011200400,4
75,50007000500,3
76,33005971300,1
77,33015063001,0
78,33015063002,0
79,33017080204,0
80,33017080203,0
81,50007003400,3
82,33013032706,2
83,33013032500,2
84,33013044300,2
85,33015055001,0
86,33015055002,0
87,50021963000,5
88,50021963300,5
89,33015052000,0
90,33015101100,0
91,50007003600,3
92,50007004002,3
93,50023955400,3
94,33011001800,4
95,33011002600,4
96,33011014202,4
97,33015003500,4
98,33015003400,4
99,50025968600,1
100,33001966402,2
101,33001966000,2
102,33011010500,4
103,33015061001,0
104,33015106200,0
105,33017083001,0
106,33017081600,0
107,50023954600,3
108,33011002400,4
109,33011021500,4
110,33011023000,4
111,50015953300,3
112,50015953500,3
113,33005970800,1
114,33011000204,4
115,50001960400,3
116,50001960300,3
117,33007950600,6
118,33007950800,6
119,33013032300,2
120,33013032900,2
121,33013040500,2
122,33013041000,2
123,33015003802,4
124,33015003701,4
125,33005970500,1
126,33007950700,6
127,33009961500,1
128,33009961602,1
129,33013039000,2
130,33013044200,4
131,33017084400,0
132,50007002800,3
133,50007003502,3
134,50015953600,3
135,33011010900,4
136,33015059000,0
137,33015106400,0
138,33015107200,0
139,33015107400,0
140,50007000800,3
141,50023954200,3
142,33007951100,6
143,33011001600,4
144,33011012300,4
145,33015100301,4
146,33017081500,0
147,50001960900,3
148,50001960800,3
149,50003970800,5
150,50007000300,3
151,50023954800,3
152,33011002903,4
153,33013032100,2
154,33017081300,0
155,33017083002,0
156,33015107500,0
157,33011002901,4
158,33011024000,4
159,33013032200,2
160,33015067501,0
161,33017081100,0
162,50005957900,6
163,50021963100,5
164,33001965900,2
165,33009960300,6
166,33011002500,4
167,50007003301,3
168,50017959200,3
169,33011021000,4
170,50011010200,3
171,50021962700,5
172,50023954900,3
173,33015053000,0
174,33015071000,0
175,50023955500,3
176,33001965800,2
177,33009961800,1
178,33011011102,4
179,33011013100,4
180,33015003703,4
181,33011022500,4
182,33015003601,4
183,33015065005,0
184,33015065001,0
185,33017085000,0
186,50001960700,3
187,50007002400,3
188,50023954000,3
189,33011002701,4
190,33011002702,4
191,33011011101,4
192,33013041500,2
193,33015067000,0
194,33015100302,4
195,33001965598,2
196,33009961700,1
197,33011002800,4
198,33011010100,4
199,33015107100,0
200,33015069700,0
201,50007002500,3
202,50011010400,3
203,33011025000,4
204,33013034000,2
205,33011015100,4
206,33005970400,1
207,33011001000,4
208,33011025500,2
209,33019975800,1
210,33019975902,1
211,50011010900,3
212,50021963200,5
213,50025968300,1
214,33011000902,4
215,33011011402,4
216,33013032701,2
217,33015003302,4
218,33017088000,0
219,50005957600,6
220,33011000102,4
221,33011011200,4
222,33011011300,4
223,33017080500,0
224,33017087000,0
225,33017084600,0
226,50003971000,5
227,50007002101,3
228,50007003501,3
229,33011000101,4
230,33011002100,4
231,33011002300,4
232,33011019000,4
233,33013040000,2
234,33013044000,2
235,33015103100,4
236,33015105100,0
237,33017081200,0
238,50015953400,3
239,50021963400,5
240,33005971500,1
241,33011001500,4
242,33011011000,4
243,33015057000,0
244,50001960100,3
245,50011011000,3
246,50017959300,3
247,50017959400,1
248,33013043001,2
249,33015003602,4
250,33019975901,1
251,50005957000,6
252,50007001100,3
253,50023954700,3
254,33003955400,2
255,33003955300,2
256,33005971600,1
257,33007950900,6
258,33011000600,4
259,33011000901,4
260,33011010600,4
261,33011011401,4
262,33011016100,4
263,33013003006,4
264,33015065008,0
265,50023955000,3
266,33011001900,4
267,33011010301,4
268,33011019501,4
269,33013043002,2
270,33015003301,4
271,33015003901,4
272,33017080100,0
273,33017084500,0
274,50011010300,3
275,50019951600,6
276,50019951500,6
277,33007950400,6
278,33007950500,6
279,33013032600,2
280,33015004000,4
281,33015051000,4
282,33015104102,0
283,50003971300,5
284,50005957300,6
285,50005957200,6
286,50027965700,1
287,50027965600,1
288,33005970100,1
289,33005970600,1
290,33011000700,4
291,33011010302,4
292,33013038000,2
293,33013042500,2
294,33015060000,0
295,33015106102,4
296,50023954100,3
297,50023955800,3
298,50023955700,3
299,33011001100,4
300,33011002200,4
301,33013003100,2
302,33013031001,2
303,33019975400,1
304,50021962400,5
305,50027966500,1
306,33001966100,2
307,33015980011,4
308,33011017100,4
309,33013038500,2
310,50003970700,5
311,50003970400,5
312,50007002301,3
313,50013020200,3
314,33001966200,2
315,33011000800,4
316,33013031002,2
317,33015064000,0
318,33015066000,0
319,50007003503,3
320,50027966100,1
321,33015104101,0
322,33019975700,1
323,50003970900,5
324,50017959101,3
325,50021962500,5
326,50023955600,3
327,33003956000,0
328,33011980101,4
329,33015067502,0
330,33015102100,0
331,33001965700,2
332,33003955900,2
333,33003956100,2
334,50001960500,3
335,50019951400,6
336,50021962800,5
337,33001966500,2
338,33005971700,1
339,33009960800,2
340,33009961000,2
341,33015058000,0
342,50027965200,1
343,33005970700,1
344,33011022000,4
345,33011200100,4
346,33011200200,4
347,33015069300,0
348,50017959600,1
349,50021962600,5
350,50021963600,5
351,50027966300,1
352,33007950300,6
353,33009961601,1
354,33011020000,4
355,33015003902,4
356,33017086000,0
357,33019975600,1
358,50021963800,5
359,50027965501,1
360,33011000202,4
361,33011018501,4
362,33015050000,4
363,33015106101,4
364,33019975300,2
365,50005957100,6
366,50009950500,6
367,50015953000,3
368,50015953200,3
369,50021964000,5
370,33011001700,4
371,33011019502,4
372,33011200300,4
373,33013033000,2
374,33015003801,4
375,33017088500,0
376,33019975500,1
377,50003970200,5
378,50027965000,1
379,33001965400,2
380,33013035000,2
381,33005970200,1
382,33011011500,4
383,33017081400,0
384,33017082000,0
385,50015953100,3
386,33011001200,4
387,33011001300,4
388,33011018000,4
389,50001961000,3
390,50005957800,6
391,50017959000,1
392,50025967800,1
393,33001966401,2
394,33009960900,1
395,33017080202,0
396,33019975200,1
397,50001960200,3
398,50021963700,5
399,50027965400,1
400,50027965800,1
401,33011000300,4
402,33015065006,0
403,33015062000,0
404,50019951200,6
405,50019951300,6
406,33001965100,2
407,33001965600,2
408,33001965300,2
409,33003956300,2
410,33003956400,2
411,50005957700,3
412,50027965100,1
413,50027965900,1
414,33013030000,4
415,33015054000,0
416,33015056000,0
417,33019975100,1
418,50021962200,5
419,33011001400,4
420,33013037000,2
421,50025968000,1
422,33001965200,2
423,33003955500,2
424,33015062500,0
425,50017959500,1
426,50025967600,1
427,50027966000,1
428,33009961200,2
429,33011002000,4
430,50021962100,5
431,50021962300,5
432,50021963500,5
433,50025967200,1
434,33009960600,1
435,50017959800,1
436,50013020100,3
437,50025967700,1
438,50025968200,1
439,50027965502,1
440,50027966200,1
441,33003955600,2
442,33009960700,1
443,50003970600,5
444,50017959102,3
445,50021964200,5
446,50017959700,1
447,50019951900,6
448,50025968100,1
449,33003955100,2
450,33015065007,0
451,50019951100,6
452,50019951700,6
453,50025967000,1
454,33003955800,0
455,33007950100,6
456,33007950200,6
457,33007951000,6
458,33009961100,2
459,33009961300,2
460,50001960600,3
461,50003970300,5
462,50019951800,6
463,50021964300,5
464,50025967100,1
465,33009961400,1
466,33009960400,2
467,50009950100,6
468,50025967300,5
469,50027965300,1
470,33011018502,4
471,50003970500,5
472,50007980000,3
473,50019952000,6
474,50025967400,1
475,50025967900,1
476,33009960500,2
477,50009950200,6
478,50025967500,1
